dc.contributor.advisor1;
dc.contributor.advisor1Lattes;
dc.contributor.referee1;
dc.contributor.referee1Lattes;
dc.contributor.referee2;
dc.contributor.referee2Lattes;
dc.contributor.referee3;
dc.contributor.referee3Lattes;
dc.creator;
dc.creator.Lattes;
dc.date.accessioned;
dc.date.available;
dc.date.issued;
dc.description.abstract;eng
dc.description.resumo;
dc.description.sponsorship;
dc.identifier.citation;
dc.identifier.uri;
dc.language;por
dc.publisher;por
dc.publisher.country;por
dc.publisher.department;
dc.publisher.initials;por
dc.publisher.program;
dc.rights;
dc.rights.uri;
dc.subject;eng
dc.subject;eng
dc.subject;eng
dc.subject;por
dc.subject;por
dc.subject;por
dc.subject.cnpq;
dc.title;
dc.title.alternative;eng
dc.type;
