dc_element,dc_qualifier,obligation,notes,capes_label
title,,M,dc:title titulo principal,OAI-DC title
contributor,author,M|MA,Autor OAI (dc:creator): pode ser dc.contributor.author ou dc.creator nos forms,Autor
date,issued,M|MA,dc:date publicacao ou defesa,Data
publisher,,MA,dc:publisher instituicao,Editora ou instituição
type,,MA,dc:type tipo recurso,Tipo
language,iso,MA,dc:language,Idioma
identifier,,M|MA,dc:identifier URI handle DOI,Identificador
subject,,O,dc:subject palavras-chave,Assunto
description,abstract,MA,dc:description resumo,Resumo
rights,,MA,dc:rights licenca e notas,Direitos
rights,uri,O,URI licenca CC,Licença CC URI
rights,access,O,Permissão de acesso COAR,Acesso
relation,,O,dc:relation vínculos,Relação
description,sponsorship,O,Financiamento / agência,Patrocínio
coverage,,O,dc:coverage,Cobertura
format,,O,dc:format mime,Formato
source,,O,dc:source,Fonte
