form_name,schema,element,qualifier,triplet
bitstream-metadata,dc,description,,dc.description._
bitstream-metadata,dc,title,,dc.title._
datasetStep,dc,contributor,author,dc.contributor.author
datasetStep,dc,date,issued,dc.date.issued
datasetStep,dc,language,iso,dc.language.iso
datasetStep,dc,publisher,,dc.publisher._
datasetStep,dc,relation,isreferencedby,dc.relation.isreferencedby
datasetStep,dc,title,,dc.title._
datasetStep,dc,title,alternative,dc.title.alternative
datasetStep,dc,type,,dc.type._
journalIssueStep,creativework,datePublished,,creativework.datePublished._
journalIssueStep,creativework,keywords,,creativework.keywords._
journalIssueStep,dc,description,,dc.description._
journalIssueStep,dc,title,,dc.title._
journalIssueStep,publicationissue,issueNumber,,publicationissue.issueNumber._
journalStep,creativework,editor,,creativework.editor._
journalStep,creativework,publisher,,creativework.publisher._
journalStep,creativeworkseries,issn,,creativeworkseries.issn._
journalStep,dc,description,,dc.description._
journalStep,dc,title,,dc.title._
journalVolumeStep,creativework,datePublished,,creativework.datePublished._
journalVolumeStep,dc,description,,dc.description._
journalVolumeStep,dc,title,,dc.title._
journalVolumeStep,publicationvolume,volumeNumber,,publicationvolume.volumeNumber._
openaireOrganizationForm,dc,description,,dc.description._
openaireOrganizationForm,dc,type,,dc.type._
openaireOrganizationForm,organization,identifier,,organization.identifier._
openaireOrganizationForm,organization,legalName,,organization.legalName._
openairePersonForm,dc,title,,dc.title._
openairePersonForm,person,affiliation,name,person.affiliation.name
openairePersonForm,person,email,,person.email._
openairePersonForm,person,familyName,,person.familyName._
openairePersonForm,person,givenName,,person.givenName._
openairePersonForm,person,identifier,,person.identifier._
openaireProjectForm,dc,identifier,,dc.identifier._
openaireProjectForm,dc,identifier,uri,dc.identifier.uri
openaireProjectForm,dc,title,,dc.title._
openaireProjectForm,oaire,fundingStream,,oaire.fundingStream._
openaireProjectForm,project,funder,name,project.funder.name
openairePublicationPageoneForm,dc,contributor,author,dc.contributor.author
openairePublicationPageoneForm,dc,date,issued,dc.date.issued
openairePublicationPageoneForm,dc,identifier,,dc.identifier._
openairePublicationPageoneForm,dc,language,iso,dc.language.iso
openairePublicationPageoneForm,dc,publisher,,dc.publisher._
openairePublicationPageoneForm,dc,relation,hasversion,dc.relation.hasversion
openairePublicationPageoneForm,dc,title,,dc.title._
openairePublicationPageoneForm,dc,title,alternative,dc.title.alternative
openairePublicationPageoneForm,dc,type,,dc.type._
openairePublicationPageoneForm,dcterms,references,,dcterms.references._
openairePublicationPageoneForm,oaire,citation,conferenceDate,oaire.citation.conferenceDate
openairePublicationPageoneForm,oaire,citation,conferencePlace,oaire.citation.conferencePlace
openairePublicationPageoneForm,oaire,citation,edition,oaire.citation.edition
openairePublicationPageoneForm,oaire,citation,endPage,oaire.citation.endPage
openairePublicationPageoneForm,oaire,citation,issue,oaire.citation.issue
openairePublicationPageoneForm,oaire,citation,startPage,oaire.citation.startPage
openairePublicationPageoneForm,oaire,citation,title,oaire.citation.title
openairePublicationPageoneForm,oaire,citation,volume,oaire.citation.volume
openairePublicationPageoneForm,oaire,version,,oaire.version._
openairePublicationPagetwoForm,dc,coverage,,dc.coverage._
openairePublicationPagetwoForm,dc,description,,dc.description._
openairePublicationPagetwoForm,dc,description,abstract,dc.description.abstract
openairePublicationPagetwoForm,dc,relation,,dc.relation._
openairePublicationPagetwoForm,dc,rights,uri,dc.rights.uri
openairePublicationPagetwoForm,dc,subject,,dc.subject._
orgUnitStep,dc,description,,dc.description._
orgUnitStep,dc,identifier,,dc.identifier._
orgUnitStep,organization,address,addressCountry,organization.address.addressCountry
orgUnitStep,organization,address,addressLocality,organization.address.addressLocality
orgUnitStep,organization,foundingDate,,organization.foundingDate._
orgUnitStep,organization,legalName,,organization.legalName._
owner,dspace,object,owner,dspace.object.owner
personStep,person,birthDate,,person.birthDate._
personStep,person,email,,person.email._
personStep,person,familyName,,person.familyName._
personStep,person,givenName,,person.givenName._
personStep,person,jobTitle,,person.jobTitle._
projectStep,dc,contributor,other,dc.contributor.other
projectStep,dc,description,,dc.description._
projectStep,dc,identifier,,dc.identifier._
projectStep,dc,subject,,dc.subject._
projectStep,dc,title,,dc.title._
projectStep,project,amount,,project.amount._
projectStep,project,amount,currency,project.amount.currency
projectStep,project,endDate,,project.endDate._
projectStep,project,investigator,,project.investigator._
projectStep,project,startDate,,project.startDate._
publicationStep,dc,contributor,author,dc.contributor.author
publicationStep,dc,date,issued,dc.date.issued
publicationStep,dc,identifier,,dc.identifier._
publicationStep,dc,identifier,citation,dc.identifier.citation
publicationStep,dc,language,iso,dc.language.iso
publicationStep,dc,publisher,,dc.publisher._
publicationStep,dc,relation,isBasedOn,dc.relation.isBasedOn
publicationStep,dc,relation,ispartofseries,dc.relation.ispartofseries
publicationStep,dc,title,,dc.title._
publicationStep,dc,title,alternative,dc.title.alternative
publicationStep,dc,type,,dc.type._
traditionalpageone,dc,contributor,author,dc.contributor.author
traditionalpageone,dc,date,issued,dc.date.issued
traditionalpageone,dc,identifier,,dc.identifier._
traditionalpageone,dc,identifier,citation,dc.identifier.citation
traditionalpageone,dc,language,iso,dc.language.iso
traditionalpageone,dc,publisher,,dc.publisher._
traditionalpageone,dc,relation,ispartofseries,dc.relation.ispartofseries
traditionalpageone,dc,title,,dc.title._
traditionalpageone,dc,title,alternative,dc.title.alternative
traditionalpageone,dc,type,,dc.type._
traditionalpagetwo,dc,description,,dc.description._
traditionalpagetwo,dc,description,abstract,dc.description.abstract
traditionalpagetwo,dc,description,sponsorship,dc.description.sponsorship
traditionalpagetwo,dc,subject,,dc.subject._
ufcatadministrativeother,dc,creator,,dc.creator._
ufcatadministrativeother,dc,date,created,dc.date.created
ufcatadministrativeother,dc,date,issued,dc.date.issued
ufcatadministrativeother,dc,description,status,dc.description.status
ufcatadministrativeother,dc,publisher,department,dc.publisher.department
ufcatadministrativeother,dc,relation,,dc.relation._
ufcatadministrativeother,dc,relation,uri,dc.relation.uri
ufcatadministrativeother,dc,source,,dc.source._
ufcatadministrativeother,dc,subject,,dc.subject._
ufcatadministrativeother,dc,title,,dc.title._
ufcatadministrativeother,dc,title,alternative,dc.title.alternative
ufcatadministrativeother,dc,type,,dc.type._
ufcatdiss_educacao,dc,contributor,advisor1,dc.contributor.advisor1
ufcatdiss_educacao,dc,creator,Lattes,dc.creator.Lattes
ufcatdiss_educacao,dc,creator,,dc.creator._
ufcatdiss_educacao,dc,date,available,dc.date.available
ufcatdiss_educacao,dc,date,issued,dc.date.issued
ufcatdiss_educacao,dc,description,abstract,dc.description.abstract
ufcatdiss_educacao,dc,description,resumo,dc.description.resumo
ufcatdiss_educacao,dc,description,sponsorship,dc.description.sponsorship
ufcatdiss_educacao,dc,language,,dc.language._
ufcatdiss_educacao,dc,publisher,,dc.publisher._
ufcatdiss_educacao,dc,publisher,country,dc.publisher.country
ufcatdiss_educacao,dc,publisher,department,dc.publisher.department
ufcatdiss_educacao,dc,publisher,initials,dc.publisher.initials
ufcatdiss_educacao,dc,publisher,program,dc.publisher.program
ufcatdiss_educacao,dc,publisher,programcode,dc.publisher.programcode
ufcatdiss_educacao,dc,rights,,dc.rights._
ufcatdiss_educacao,dc,subject,,dc.subject._
ufcatdiss_educacao,dc,subject,cnpq,dc.subject.cnpq
ufcatdiss_educacao,dc,title,,dc.title._
ufcatdiss_educacao,dc,type,,dc.type._
ufcatdiss_engcivil,dc,contributor,advisor1,dc.contributor.advisor1
ufcatdiss_engcivil,dc,creator,Lattes,dc.creator.Lattes
ufcatdiss_engcivil,dc,creator,,dc.creator._
ufcatdiss_engcivil,dc,date,available,dc.date.available
ufcatdiss_engcivil,dc,date,issued,dc.date.issued
ufcatdiss_engcivil,dc,description,abstract,dc.description.abstract
ufcatdiss_engcivil,dc,description,resumo,dc.description.resumo
ufcatdiss_engcivil,dc,description,sponsorship,dc.description.sponsorship
ufcatdiss_engcivil,dc,language,,dc.language._
ufcatdiss_engcivil,dc,publisher,,dc.publisher._
ufcatdiss_engcivil,dc,publisher,country,dc.publisher.country
ufcatdiss_engcivil,dc,publisher,department,dc.publisher.department
ufcatdiss_engcivil,dc,publisher,initials,dc.publisher.initials
ufcatdiss_engcivil,dc,publisher,program,dc.publisher.program
ufcatdiss_engcivil,dc,publisher,programcode,dc.publisher.programcode
ufcatdiss_engcivil,dc,rights,,dc.rights._
ufcatdiss_engcivil,dc,subject,,dc.subject._
ufcatdiss_engcivil,dc,subject,cnpq,dc.subject.cnpq
ufcatdiss_engcivil,dc,title,,dc.title._
ufcatdiss_engcivil,dc,type,,dc.type._
ufcatdiss_engprod,dc,contributor,advisor1,dc.contributor.advisor1
ufcatdiss_engprod,dc,creator,Lattes,dc.creator.Lattes
ufcatdiss_engprod,dc,creator,,dc.creator._
ufcatdiss_engprod,dc,date,available,dc.date.available
ufcatdiss_engprod,dc,date,issued,dc.date.issued
ufcatdiss_engprod,dc,description,abstract,dc.description.abstract
ufcatdiss_engprod,dc,description,resumo,dc.description.resumo
ufcatdiss_engprod,dc,description,sponsorship,dc.description.sponsorship
ufcatdiss_engprod,dc,language,,dc.language._
ufcatdiss_engprod,dc,publisher,,dc.publisher._
ufcatdiss_engprod,dc,publisher,country,dc.publisher.country
ufcatdiss_engprod,dc,publisher,department,dc.publisher.department
ufcatdiss_engprod,dc,publisher,initials,dc.publisher.initials
ufcatdiss_engprod,dc,publisher,program,dc.publisher.program
ufcatdiss_engprod,dc,publisher,programcode,dc.publisher.programcode
ufcatdiss_engprod,dc,rights,,dc.rights._
ufcatdiss_engprod,dc,subject,,dc.subject._
ufcatdiss_engprod,dc,subject,cnpq,dc.subject.cnpq
ufcatdiss_engprod,dc,title,,dc.title._
ufcatdiss_engprod,dc,type,,dc.type._
ufcatdiss_fisica,dc,creator,Lattes,dc.creator.Lattes
ufcatdiss_fisica,dc,creator,,dc.creator._
ufcatdiss_fisica,dc,date,available,dc.date.available
ufcatdiss_fisica,dc,date,issued,dc.date.issued
ufcatdiss_fisica,dc,language,iso,dc.language.iso
ufcatdiss_fisica,dc,publisher,programcode,dc.publisher.programcode
ufcatdiss_fisica,dc,title,,dc.title._
ufcatdiss_fisica,dc,type,,dc.type._
ufcatdiss_geografia,dc,contributor,advisor1,dc.contributor.advisor1
ufcatdiss_geografia,dc,creator,Lattes,dc.creator.Lattes
ufcatdiss_geografia,dc,creator,,dc.creator._
ufcatdiss_geografia,dc,date,available,dc.date.available
ufcatdiss_geografia,dc,date,issued,dc.date.issued
ufcatdiss_geografia,dc,description,abstract,dc.description.abstract
ufcatdiss_geografia,dc,description,resumo,dc.description.resumo
ufcatdiss_geografia,dc,description,sponsorship,dc.description.sponsorship
ufcatdiss_geografia,dc,language,,dc.language._
ufcatdiss_geografia,dc,publisher,,dc.publisher._
ufcatdiss_geografia,dc,publisher,country,dc.publisher.country
