Comunidade (Faculdade/Instituto),Handle Comunidade,Subcomunidade (Curso/PPG),Handle Subcomunidade,Coleção,Handle Coleção,UUID Coleção,TYPE,observação
BIBLIOTECA UNIVERSITÁRIA,123456789/11825,BIBLIOTECA UNIVERSITÁRIA,123456789/11825,Documentos Regulatórios e Instruções,123456789/11826,a7d98ac8-4592-410b-bd65-aef3660dfbb0,administrativeOtherProcess,
INSTITUTO DE FÍSICA,tede/11,Programa de Pós-Graduação em Ciência e Engenharia de Materiais (PPGCEM),123456789/11947,Doutorado em Ciência e Engenharia de Materiais - PPGCEM,123456789/11949,8a129491-784f-45c1-addb-f2e4ee20777b,thesisProcess,
INSTITUTO DE ESTUDOS DA LINGUAGEM,tede/5,Programa de Pós-Graduação em Estudos da Linguagem (PPGEL),tede/18,Doutorado em Estudos da Linguagem - PPGEL,tede/61,c9a3d34d-3847-4696-8c17-03d23188839c,thesisProcess,
INSTITUTO DE QUÍMICA,tede/12,Programa de Pós-Graduação em Química - PPGQ,tede/29,Doutorado em Química - PPGQ,tede/68,b22c8eae-df51-433b-9b71-340c10db1248,thesisProcess,
INSTITUTO DE FÍSICA,tede/11,Programa de Pós-Graduação em Ciência e Engenharia de Materiais (PPGCEM),123456789/11947,Mestrado em Ciência e Engenharia de Materiais - PPGCEM,123456789/11948,6394f614-0161-4cee-847c-d70bb24b9ded,dissertationProcess,
FACULDADE DE EDUCAÇÃO,tede/6,Programa de Pós-Graduação em Educação (PPGEDUC),tede/52,Mestrado em Educação,tede/82,7c45b1ef-20ee-40b3-8293-29f6a369030d,dissertationProcess,
FACULDADE DE ENGENHARIA,tede/7,Programa de Pós-Graduação em Engenharia Civil (PPGEC),tede/15,Mestrado em Engenharia Civil,tede/86,effa8c60-bf2c-4695-bbbe-4ad669cf650a,dissertationProcess,
FACULDADE DE ENGENHARIA,tede/7,Programa de Pós-Graduação em Engenharia de Produção (PPGEP),tede/55,Mestrado em Engenharia de Produção,tede/84,ff1f2ae1-20a6-46b5-b123-4b5ca93440d6,dissertationProcess,
INSTITUTO DE ESTUDOS DA LINGUAGEM,tede/5,Programa de Pós-Graduação em Estudos da Linguagem (PPGEL),tede/18,Mestrado em Estudos da Linguagem - PPGEL,tede/62,8fb43025-46d3-4a42-b1de-4c4d6dd3a48c,dissertationProcess,
INSTITUTO DE FÍSICA,tede/11,Programa de Pós-Graduação em Física (PPGEF),tede/19,Mestrado em Física - PPGEF,tede/71,f0d9e12b-89ce-4a6b-88c3-6e814643c855,dissertationProcess,
