value_pairs_name,dc_term,option_count,sample_displayed_values
common_identifiers,identifier,6,"ISSN; Other; ISMN; Nº de documento governamental; URI (+1 mais)"
common_iso_languages,language_iso,12,"N/A; English (United States); English; Spanish; German (+7 mais)"
common_types,type,22,"Animação; Artigo; Livro; Capítulo de livro; Conjunto de dados (+17 mais)"
openaire_author_identifier_types,identifier,7,"ID de autor no Scopus; Ciencia ID; ID do Google Scholar; ORCID (Open Researcher and Contributor ID); ResearcherID (Web of Science) (+2 mais)"
openaire_license_types,license,8,"Sem licença; Atribuição (CC-BY); Atribuição, sem derivações (CC-BY-ND); Atribuição, compartilha igual (CC-BY-SA); Atribuição, não comercial (CC-BY-NC) (+3 mais)"
openaire_organization_identifier_types,identifier,4,"ISNI (International Standard Name Identifier); Identificador Ringgold; ROR (Research Organization Registry); Outro"
openaire_organization_types,type,2,"N/A; É uma organização financiadora"
openaire_rights,rights,4,"Acesso aberto (Open Access); Acesso fechado (closedAccess — ao público só metadados); Acesso restrito (restrictedAccess); Acesso embargado (embargoedAccess)"
openaire_types,type,71,"Interactive Resource; - Website; Dataset; - Interview; Image (+66 mais)"
openaire_version_types,version,8,"Original do autor; Manuscrito submetido em avaliação; Manuscrito aceito; Prova (revisão final); Versão publicada (versão de registro) (+3 mais)"
ufcat_access_rights,rights.access,4,"Acesso aberto (Open Access); Acesso fechado (closedAccess — ao público só metadados); Acesso restrito (restrictedAccess); Acesso embargado (embargoedAccess)"
ufcat_administrative_creators,creator,112,"Arquivos e Museus (ARQUIM); Secretaria de Comunicação Social (SECOM); Coordenação de Gestão do Espaço Físico (CGEF); Coordenação de Patrimônio (CPATRI); Diretoria de Administração Acadêmica (DAA) (+107 mais)"
ufcat_administrative_other_types,type,5,"Parecer; Instrução Normativa; Despacho; Edital; Aviso"
ufcat_cc_licenses,rights,6,"CC BY 4.0 - Atribuição; CC BY-SA 4.0 - Atribuição-CompartilhaIgual; CC BY-NC 4.0 - Atribuição-NãoComercial; CC BY-NC-SA 4.0 - Atribuição-NãoComercial-CompartilhaIgual; CC BY-ND 4.0 - Atribuição-SemDerivações (+1 mais)"
ufcat_dissertation_courses,publisher_program,14,"PPGCEM - Programa de Pós-Graduação em Ciência e Engenharia de Materiais; PPGCET - Programa de Pós-Graduação em Ciências Exatas e Tecnológicas; PPGEF - Programa de Pós-Graduação em Ensino de Física em Rede; PPGEDUC - Programa de Pós-Graduação em Educação; PPGEC - Programa de Pós-Graduação em Engenharia Civil (+9 mais)"
ufcat_dissertation_type,type,1,"Dissertação"
ufcat_document_status,description_status,2,"Vigente; Revogado"
ufcat_institution_country,publisher.country,1,"Brasil"
ufcat_institution_initials,publisher.initials,1,"UFCAT"
ufcat_institution_name,publisher,1,"Universidade Federal de Catalão"
ufcat_ordinance_types,type,4,"Portaria; Portaria Conjunta; Portaria Normativa; Portaria Anexo"
ufcat_policy_types,type,1,"Política"
ufcat_programcode_cet,publisher_programcode,1,"Ciências Exatas e Tecnológicas (52059006001P8)"
ufcat_programcode_educacao,publisher_programcode,1,"Educação (52059006002P4)"
ufcat_programcode_engcivil,publisher_programcode,1,"Engenharia Civil (52059006003P0)"
ufcat_programcode_engprod,publisher_programcode,1,"Engenharia de Produção (52059006004P7)"
ufcat_programcode_fisica,publisher_programcode,1,"Ensino de Física - PROFIS (33283010001P5)"
ufcat_programcode_geografia,publisher_programcode,1,"Geografia (52059006010P7)"
ufcat_programcode_gestao,publisher_programcode,1,"Gestão Organizacional (52059006006P0)"
ufcat_programcode_historia,publisher_programcode,1,"História (52059006007P6)"
ufcat_programcode_linguagem,publisher_programcode,1,"Estudos da Linguagem (52059006005P3)"
ufcat_programcode_matematica,publisher_programcode,1,"Matemática em Rede Nacional (31075010001P2)"
ufcat_programcode_modelagem,publisher_programcode,1,"Modelagem e Otimização (52059006008P2)"
ufcat_programcode_ppgcem,publisher_programcode,1,"Ciência e Engenharia de Materiais (52059006001P8)"
ufcat_programcode_profbio,publisher_programcode,1,"PROFBIO (32001010175P5)"
ufcat_programcode_quimica_d,publisher_programcode,1,"Química (Doutorado) (51005018172P5)"
ufcat_programcode_quimica_m,publisher_programcode,1,"Química (Mestrado) (52059006009P9)"
ufcat_programcode_saude,publisher_programcode,1,"Saúde da Família (33303002001P9)"
ufcat_resolution_types,type,1,"Resolução"
ufcat_tcc_courses,publisher_course,30,"Administração; Administração Pública (A distância); Ciência da Computação; Ciências Biológicas; Ciências Sociais (+25 mais)"
ufcat_tcc_degree_levels,type.degree,4,"Bacharelado; Licenciatura; Tecnológico; Especialização (Lato Sensu)"
ufcat_tcc_degreename,description_degreename,1,"Trabalho de Conclusão de Curso (Graduação)"
ufcat_tcc_iso_languages,language_iso,12,"N/D; Inglês (Estados Unidos); Inglês; Espanhol; Alemão (+7 mais)"
ufcat_tcc_types,type,2,"Trabalho de Conclusão de Curso (Graduação); Trabalho de Conclusão de Curso (Especialização)"
ufcat_thesis_courses,publisher_program,6,"PPGCEM - Programa de Pós-Graduação em Ciência e Engenharia de Materiais; PPGCET - Programa de Pós-Graduação em Ciências Exatas e Tecnológicas; PPGEDUC - Programa de Pós-Graduação em Educação; PPGEL - Programa de Pós-Graduação em Estudos da Linguagem; PPGGEO - Programa de Pós-Graduação em Geografia (+1 mais)"
ufcat_thesis_type,type,1,"Tese"
ufcat_units,publisher_department,10,"IF - Instituto de Física; FAE - Faculdade de Educação; FENG - Faculdade de Engenharia; IEL - Instituto de Estudos da Linguagem; IGEO - Instituto de Geografia (+5 mais)"
